Name,O-Swing%,Z-Swing%,Contact%,Zone%,SwStr%
Aaron Judge,21.30%,71.90%,71.20%,41.00%,12.10%
Jonathan India,21.30%,59.80%,82.70%,44.00%,6.60%
Juan Soto,21.30%,60.10%,79.90%,40.20%,7.40%
Andrew McCutchen,21.60%,67.90%,73.70%,44.20%,11.00%
Steven Kwan,22.20%,59.70%,92.80%,44.70%,2.80%
Jesse Winker,22.90%,67.50%,81.60%,45.30%,7.90%
Mookie Betts,22.90%,65.40%,86.10%,41.00%,5.60%
Taylor Ward,23.30%,68.40%,76.40%,44.10%,10.20%
Seiya Suzuki,23.60%,62.70%,77.70%,41.00%,8.80%
Kyle Schwarber,24.00%,62.60%,70.40%,41.30%,11.80%
Maikel Garcia,24.80%,65.20%,85.60%,45.20%,6.20%
Nolan Schanuel,25.50%,64.00%,86.80%,41.70%,5.50%
Matt Vierling,25.60%,64.90%,82.50%,43.60%,7.50%
Yandy Diaz,25.60%,66.50%,87.60%,44.60%,5.40%
Gleyber Torres,26.00%,71.70%,79.50%,43.00%,9.40%
Jurickson Profar,26.00%,70.70%,84.50%,43.30%,7.00%
Gunnar Henderson,26.20%,68.60%,77.80%,42.60%,9.80%
Riley Greene,26.40%,68.30%,75.40%,42.40%,11.00%
Jake Cronenworth,26.50%,66.80%,84.90%,44.90%,6.80%
Alex Bregman,26.50%,69.10%,88.60%,43.20%,5.10%
Joey Ortiz,26.60%,55.50%,85.10%,43.60%,5.80%
Brendan Donovan,26.70%,64.70%,86.60%,44.80%,5.90%
Lane Thomas,26.70%,66.50%,79.50%,42.90%,9.00%
Wyatt Langford,27.00%,65.70%,79.50%,41.00%,8.80%
Carlos Santana,27.00%,66.70%,78.70%,41.20%,9.20%
Nathaniel Lowe,27.10%,63.90%,81.20%,42.40%,8.00%
Ian Happ,27.10%,70.00%,74.50%,43.60%,11.70%
Randy Arozarena,27.30%,61.70%,72.90%,39.70%,11.10%
Tyler Stephenson,27.40%,65.30%,78.90%,42.00%,9.10%
Michael Busch,27.40%,71.00%,74.50%,40.40%,11.50%
Brandon Nimmo,27.60%,67.70%,78.70%,42.80%,9.50%
Colton Cowser,27.60%,66.30%,71.20%,43.00%,12.80%
Corbin Carroll,27.70%,61.30%,81.60%,39.30%,7.50%
Matt Chapman,27.70%,65.80%,79.30%,44.30%,9.20%
Andrew Benintendi,27.90%,71.10%,82.00%,45.80%,8.60%
Rhys Hoskins,28.10%,61.50%,77.10%,43.90%,9.80%
Dansby Swanson,28.20%,74.00%,73.00%,44.90%,13.10%
Christian Walker,28.30%,76.60%,76.10%,41.10%,11.50%
Alex Verdugo,28.30%,62.90%,86.60%,46.70%,6.00%
JJ Bleday,28.40%,69.80%,76.40%,40.30%,10.60%
George Springer,28.40%,75.30%,76.90%,44.00%,11.30%
Justin Turner,28.60%,67.40%,85.00%,43.40%,6.80%
Jacob Young,28.60%,59.70%,83.20%,46.30%,7.20%
Spencer Steer,28.70%,66.70%,79.00%,41.70%,9.30%
William Contreras,29.10%,74.30%,74.10%,40.50%,12.30%
Ketel Marte,29.30%,73.30%,80.80%,42.80%,9.20%
Pete Alonso,29.40%,62.90%,77.30%,40.10%,9.70%
Daulton Varsho,29.50%,71.40%,76.10%,42.80%,11.40%
Sal Frelick,29.60%,56.30%,88.40%,43.40%,4.80%
Marcell Ozuna,29.60%,74.90%,71.00%,38.00%,13.60%
Isaac Paredes,29.60%,67.40%,83.90%,39.90%,7.20%
Elly De La Cruz,29.70%,62.40%,67.90%,40.40%,13.80%
Christopher Morel,29.70%,71.90%,68.40%,41.00%,14.80%
Jorge Soler,29.80%,66.50%,72.80%,39.60%,12.10%
Will Smith,29.90%,68.70%,81.80%,42.10%,8.40%
Josh Smith,30.00%,66.80%,80.00%,44.80%,9.30%
Marcus Semien,30.30%,78.70%,81.00%,40.70%,9.50%
Ryan McMahon,30.40%,67.10%,72.20%,44.80%,13.00%
Shohei Ohtani,30.50%,70.50%,73.50%,41.80%,12.50%
Eugenio Suarez,30.50%,69.00%,72.80%,43.50%,12.80%
Francisco Lindor,30.50%,71.50%,78.60%,43.90%,10.30%
Vladimir Guerrero Jr.,30.60%,71.00%,80.10%,43.00%,9.60%
Freddie Freeman,30.70%,76.50%,82.10%,40.80%,8.80%
Alec Bohm,31.00%,72.80%,84.60%,44.70%,7.60%
Orlando Arcia,31.20%,73.10%,76.50%,42.50%,11.50%
Jarren Duran,31.20%,70.80%,78.10%,42.90%,10.50%
Josh Bell,31.40%,75.10%,76.70%,39.40%,11.30%
Willy Adames,31.50%,73.20%,73.90%,42.90%,12.90%
Jazz Chisholm Jr.,31.60%,67.80%,73.00%,41.80%,12.60%
Leody Taveras,31.70%,70.90%,75.80%,42.60%,11.70%
Brice Turang,31.70%,64.40%,88.00%,45.40%,5.60%
Corey Seager,31.70%,82.40%,78.40%,42.10%,11.40%
Brendan Rodgers,32.00%,72.10%,76.30%,43.20%,11.70%
Ty France,32.00%,78.30%,78.60%,41.40%,10.90%
Bryson Stott,32.10%,59.10%,85.50%,43.60%,6.40%
Paul Goldschmidt,32.30%,67.20%,74.90%,43.70%,11.90%
Anthony Volpe,32.40%,65.90%,79.20%,45.20%,9.90%
Adley Rutschman,32.40%,61.00%,84.60%,42.20%,6.80%
Colt Keith,32.70%,69.80%,78.50%,43.00%,10.50%
Jake Meyers,32.80%,71.10%,74.40%,41.10%,12.40%
Zack Gelof,32.80%,74.50%,65.30%,44.30%,17.80%
Teoscar Hernandez,32.80%,76.30%,68.50%,42.00%,16.10%
Masyn Winn,33.00%,64.20%,83.20%,43.40%,7.80%
Heliot Ramos,33.00%,75.40%,72.90%,40.80%,13.60%
Rafael Devers,33.30%,75.70%,71.90%,41.50%,14.30%
Matt Olson,33.30%,73.20%,76.50%,41.00%,11.70%
Manny Machado,33.50%,75.20%,78.10%,43.40%,11.30%
Oneil Cruz,33.50%,65.60%,67.30%,39.90%,15.10%
Yordan Alvarez,33.50%,69.10%,81.30%,39.90%,8.90%
Nolan Arenado,33.50%,64.60%,84.40%,42.70%,7.30%
Brenton Doyle,33.70%,77.00%,72.80%,39.90%,13.90%
Vinnie Pasquantino,33.80%,67.40%,87.50%,41.20%,5.90%
Jackson Chourio,34.00%,68.10%,75.80%,43.40%,11.80%
Brent Rooker,34.10%,74.80%,68.40%,39.50%,15.90%
Shea Langeliers,34.40%,71.10%,73.40%,41.00%,13.10%
Bryan Reynolds,34.50%,76.00%,72.90%,38.30%,13.60%
Jose Ramirez,34.80%,70.60%,86.40%,40.60%,6.70%
Zach Neto,35.00%,67.80%,74.20%,41.40%,12.50%
Cody Bellinger,35.10%,68.90%,79.90%,43.50%,10.00%
Nico Hoerner,35.20%,65.30%,89.30%,43.10%,5.10%
Lourdes Gurriel Jr.,35.40%,72.50%,81.20%,42.10%,9.60%
Bobby Witt Jr.,35.40%,74.80%,80.80%,40.00%,9.80%
Josh Naylor,35.50%,73.70%,79.40%,38.80%,10.40%
Willi Castro,35.90%,73.10%,73.20%,41.20%,13.70%
Cal Raleigh,36.10%,76.10%,72.00%,40.40%,14.60%
Andrew Vaughn,36.20%,68.30%,79.80%,41.30%,10.00%
Bryce Harper,36.60%,80.50%,75.10%,36.80%,13.10%
Luis Arraez,36.80%,64.70%,94.20%,45.30%,2.90%
Bryan De La Cruz,37.10%,77.20%,72.80%,40.80%,14.50%
Adolis Garcia,37.10%,76.00%,67.80%,38.40%,16.70%
Anthony Santander,37.50%,68.80%,82.20%,39.20%,8.80%
Logan O'Hoppe,37.90%,74.00%,68.60%,39.30%,16.30%
Trea Turner,38.30%,76.40%,75.50%,40.60%,13.20%
Jackson Merrill,38.30%,80.70%,81.00%,43.50%,10.80%
Luis Garcia Jr.,38.50%,69.80%,81.20%,41.20%,9.70%
Alec Burleson,38.70%,78.20%,83.00%,42.70%,9.40%
CJ Abrams,38.80%,71.70%,77.20%,43.50%,12.10%
Jeremy Pena,39.20%,74.50%,77.10%,40.70%,12.20%
Jesus Sanchez,39.20%,74.70%,71.60%,38.80%,15.10%
Jose Altuve,39.60%,69.70%,79.60%,37.80%,10.40%
Ryan Mountcastle,40.50%,77.90%,77.10%,41.70%,12.80%
Julio Rodriguez,40.50%,76.30%,71.40%,38.50%,15.50%
Andres Gimenez,40.80%,74.90%,79.20%,43.50%,11.60%
Nick Castellanos,40.80%,82.10%,72.40%,41.70%,16.00%
Jake Burger,41.30%,69.80%,71.50%,38.90%,14.90%
Yainer Diaz,45.70%,79.60%,77.60%,38.70%,13.20%
Salvador Perez,46.40%,77.60%,74.10%,36.40%,14.90%
Ezequiel Tovar,48.10%,82.60%,69.00%,40.10%,19.20%
Ceddanne Rafaela,49.50%,78.70%,69.60%,41.10%,18.70%